match,n,i,target
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,6
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
True,2477,100,7
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,2477,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,1238,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
False,619,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
False,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
False,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
False,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
False,310,100,8
True,310,100,8
True,310,100,8
False,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
True,310,100,8
